trip,walk_distance,travel_time,boardings
26202001,413.2927518764483,1603,2
26202002,1489.0325037528962,1705,1
26601001,1436.4276766878354,1107,0
26601002,1436.601105260186,1105,0
26601003,1060.650639094336,821,0
26601004,1382.7731804423454,1232,1
26601005,144.56279699026132,962,2
26601006,897.7373759366109,696,0
26601007,897.7351202975859,696,0
26602001,1436.601105260186,1105,0
26602005,1436.4276766878354,1107,0
27201001,1297.4619248033207,1018,0
27201002,1297.4641804423459,1018,0
27201003,1297.4619248033207,1018,0
27201004,1297.4641804423459,1018,0
27301001,1812.8339097707606,1400,0
27301002,998.4409774374468,786,0
27301003,765.7164436016835,907,1
28501001,377.1592481170983,1335,2
28501002,407.5950526292863,1811,2
28701001,1624.370218040685,1255,0
28701002,1624.3660827024726,1255,0
28701003,635.0351578910856,849,1
28701004,1624.3660827024726,1255,0
28701005,510.8114135301105,861,1
28701006,547.2873308244111,717,1
28901001,1074.7166240569359,833,0
28901002,1074.718127816286,833,0
28901003,756.2337067642485,634,1
28901004,988.3020827040859,766,0
29501001,722.4118195431345,917,1
29501002,706.6963458585842,558,0
29501003,307.4555037561233,246,0
29501004,581.7173157853979,909,1
29502001,1825.0212781886712,1420,0
29502002,330.1887293203484,800,1
29502003,722.4118195431345,917,1
29502004,706.6963458585842,558,0
29502005,307.4555037561233,246,0
29502006,581.7173157853979,909,1
30001001,529.306796988648,624,1
30001002,623.138353380511,488,0
30001003,2493.201729312282,2008,1
30001004,462.47461653662253,683,1
30001005,1315.2732857073715,1031,0
30001006,792.5380300715731,619,0
30001007,522.7350075154732,412,0
30001008,1315.2732857073715,1031,0
30002001,222.49257894634945,637,1
30002002,1051.5217293171218,1220,1
30101001,754.2748195431345,941,1
30101002,1417.0429774358336,1492,1
30501001,443.79085713824753,1399,1
30501002,232.23296240327352,1615,1
30501003,622.6900075154731,721,1
30501004,111.79129323091135,1394,2
30501005,384.31975939514825,694,1
30801001,500.02072931873505,1442,1
30801002,991.5676917268487,1317,1
30801003,307.4555037561233,246,0
30801004,776.4960526260595,1000,1
31101001,745.5064661626236,1812,2
31101002,error,404,PATH_NOT_FOUND
31301001,682.1536165366223,705,1
31301002,471.19324060001173,1084,2
31301003,470.37387217887414,1075,2
31301004,410.1930526292862,326,0
31301005,1180.5505187951364,917,0
31501001,1875.1399172878475,1453,0
31501002,595.2315488699363,551,1
31501003,1050.3323383414977,823,0
31601001,1685.0158345805341,1495,1
31601002,179.60329323091133,1016,2
32401001,1251.2297744309344,1110,1
32401002,1123.7613834536974,1006,1
32401003,1251.2297744309344,1110,1
32401004,1123.7613834536974,1006,1
32401005,1251.2297744309344,1110,1
32401006,1123.7613834536974,1006,1
32403001,1004.5968571382476,984,1
32403002,828.0852105219851,838,1
32404001,819.4305639073361,2489,2
32404002,719.4686240569357,2208,2
33001003,1731.0693007479979,1332,0
33101001,910.6657218000352,713,0
33101002,910.6706090179225,713,0
33102001,910.6657218000352,713,0
33102002,910.6706090179225,713,0
33901001,1800.0165037561237,1401,0
33901002,1797.3105413496235,1402,0
33901003,200.49112781951249,574,1
33901004,1620.8389172894608,1258,0
33901005,1850.6485037545099,1441,0
